topic,docname,filename,distribution
Topic24,CVC-UNCC-09-01,CVC-UNCC-09-01.pdf,580.0775497276177
Topic24,CVC-UNCC-09-02,CVC-UNCC-09-02.pdf,568.7824111591985
Topic24,CVC-UNCC-09-21,CVC-UNCC-09-21.pdf,548.5846559194672
Topic24,CVC-UNCC-09-17,CVC-UNCC-09-17.pdf,542.1160500014824
Topic24,CVC-UNCC-09-19,CVC-UNCC-09-19.pdf,491.5109148086226
Topic27,CVC-UNCC-07-02,CVC-UNCC-07-02.pdf,241.98192620931815
Topic21,CVC-UNCC-11-02,CVC-UNCC-11-02.pdf,219.92023246463654
Topic21,CVC-UNCC-11-04,CVC-UNCC-11-04.pdf,219.7259811930907
Topic21,CVC-UNCC-12-14,CVC-UNCC-12-14.pdf,204.15254935207892
Topic21,CVC-UNCC-10-20,CVC-UNCC-10-20.pdf,199.27908300803722
Topic21,CVC-UNCC-11-06,CVC-UNCC-11-06.pdf,182.3540182075421
Topic15,CVC-UNCC-08-01,CVC-UNCC-08-01.pdf,91.32321172746796
Topic15,CVC-UNCC-14-07,CVC-UNCC-14-07.pdf,81.0200538384734
Topic15,CVC-UNCC-12-02,CVC-UNCC-12-02.pdf,74.32654091619399
Topic15,CVC-UNCC-14-08,CVC-UNCC-14-08.pdf,58.42039060184575
Topic27,CVC-UNCC-13-02,CVC-UNCC-13-02.pdf,52.85931807471291
Topic27,CVC-UNCC-11-18,CVC-UNCC-11-18.pdf,52.83873331060346
Topic27,CVC-UNCC-10-17,CVC-UNCC-10-17.pdf,52.7138023263177
Topic27,CVC-UNCC-13-14,CVC-UNCC-13-14.pdf,52.57019219150836
Topic15,CVC-UNCC-12-12,CVC-UNCC-12-12.pdf,25.065262910296397
Topic20,CVC-UNCC-06-06,CVC-UNCC-06-06.pdf,15.25776720226488
Topic20,CVC-UNCC-10-16,CVC-UNCC-10-16.pdf,14.514306983738223
Topic20,CVC-UNCC-09-13,CVC-UNCC-09-13.pdf,11.24064951946288
Topic07,CVC-UNCC-08-08,CVC-UNCC-08-08.pdf,9.384900811709716
Topic07,CVC-UNCC-06-09,CVC-UNCC-06-09.pdf,9.224474511714828
Topic07,CVC-UNCC-06-09_0,CVC-UNCC-06-09_0.pdf,9.224474511714828
Topic20,CVC-UNCC-14-01,CVC-UNCC-14-01.pdf,7.632916501814273
Topic06,CVC-UNCC-10-01_0,CVC-UNCC-10-01_0.pdf,6.02908177483277
Topic06,CVC-UNCC-08-32,CVC-UNCC-08-32.pdf,5.86964837737833
Topic06,CVC-UNCC-08-33,CVC-UNCC-08-33.pdf,5.536089789282476
Topic07,CVC-UNCC-06-01,CVC-UNCC-06-01.pdf,5.39354293852953
Topic06,CVC-UNCC-07-15,CVC-UNCC-07-15.pdf,5.0832093437952395
Topic22,CVC-UNCC-06-11,CVC-UNCC-06-11.pdf,4.496729377861489
Topic06,CVC-UNCC-07-07,CVC-UNCC-07-07.pdf,4.173017832836513
Topic22,CVC-UNCC-07-16,CVC-UNCC-07-16.pdf,3.9703244734077505
Topic30,CVC-UNCC-09-24,CVC-UNCC-09-24.pdf,3.950705642024152
Topic30,CVC-UNCC-12-05,CVC-UNCC-12-05.pdf,3.8973208981340384
Topic22,CVC-UNCC-06-07,CVC-UNCC-06-07.pdf,3.792293010409514
Topic22,CVC-UNCC-08-13,CVC-UNCC-08-13.pdf,3.5526263187692
Topic20,CVC-UNCC-08-20,CVC-UNCC-08-20.pdf,3.5261175818308024
Topic30,CVC-UNCC-10-28,CVC-UNCC-10-28.pdf,3.4805669527843497
Topic22,CVC-UNCC-08-11,CVC-UNCC-08-11.pdf,3.4165724780895594
Topic09,CVC-UNCC-09-28,CVC-UNCC-09-28.pdf,3.3723297232235274
Topic30,CVC-UNCC-13-13,CVC-UNCC-13-13.pdf,3.339646876057005
Topic30,CVC-UNCC-13-12_0,CVC-UNCC-13-12_0.pdf,3.253009604025648
Topic09,CVC-UNCC-14-04,CVC-UNCC-14-04.pdf,3.153919674551916
Topic09,CVC-UNCC-08-31,CVC-UNCC-08-31.pdf,2.906574280225641
Topic09,CVC-UNCC-14-16,CVC-UNCC-14-16.pdf,2.819187193680364
Topic09,CVC-UNCC-11-26,CVC-UNCC-11-26.pdf,2.5619370831506587
Topic07,CVC-UNCC-08-03,CVC-UNCC-08-03.pdf,0.497618467685532
