term,distribution
knowledge,701.557287
news,646.0423951
images,643.4874947
events,405.7430786
video,394.9328947
video,384.6346989
event,367.4636872
topic,310.4553681
volume,290.3409387
bridge,282.2018043
were,280.3612959
nodes,248.2398617
was,238.4047535
documents,220.3741547
images,220.1257304
process,217.4283577
skin,210.9548524
human,208.3518887
salient,206.9723877
participants,205.7375151
topics,203.0419059
simplification,199.6177321
change,198.3407527
view,195.8922514
display,191.0245196
concepts,190.4202021
concept,190.1783935
game,187.9266045
study,182.1554672
eye,178.41356
objects,176.9984519
cognitive,176.2821155
topics,171.5777476
processes,170.7835118
feature,169.7644645
training,168.4507285
semantic,168.0897756
design,167.6624389
building,167.0983166
social,165.9378731
interactions,165.7922322
insights,157.6291199
knowledge,155.2794637
flow,155.1760883
concept,153.0199219
reasoning,149.8003497
retrieval,148.8083791
analytical,147.5653917
analytics,146.0362201
keywords,142.5705868
control,141.922175
load,140.2956017
rendering,140.2622129
they,138.6478429
topic,138.1550851
lidar,136.9632502
knowledge,136.4958962
structure,132.4743797
network,132.3863577
model,132.3738903
changes,130.6604404
player,129.9853774
could,129.1828249
may,128.6741715
view,128.3231938
learning,126.8298866
media,126.7236239
node,125.779127
through,124.703303
may,124.1511779
large-scale,123.824994
cognitive,123.6571967
transactions,123.3718461
video,123.2212785
analytics,122.0895256
map,121.032459
parallel,120.8202777
human,119.6744233
elements,118.6356437
similarity,118.4781846
interaction,117.5845196
systems,117.2927169
semantic,117.2921615
query,116.8494668
dimensions,116.0766611
attacks,115.7761138
thus,115.4359578
process,115.2335803
network,114.7437905
semantic,113.6515302
collections,113.1963901
vertices,112.4224164
text,112.0129021
evaluation,110.8773773
topic,110.2789154
interaction,108.5562863
credit,108.361803
they,108.0011623
processes,107.7851241
optical,107.7407044
